지점,지점명,일시,최저기온(°C),최고기온(°C),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위)
90,속초,1974,-12.6,33.8,2049.2,46.19,,3.3,270
90,속초,1975,-9.8,34.1,2065.6,46.55,,3.1,270
90,속초,1976,-14.7,33.3,2258.9,50.79,,3.4,270
90,속초,1977,-14.7,34.4,2271,51.19,,3.3,270
90,속초,1978,-13.9,34.7,2275.3,51.28,,3.3,270
90,속초,1979,-9.4,34.7,2078.3,46.85,,3.4,270
90,속초,1980,-13.6,32.8,2132.4,47.94,,3.5,290
90,속초,1981,-16.2,35.8,2203.4,49.67,,3.3,290
90,속초,1982,-12.3,32.6,2444.5,55.1,,3.1,270
90,속초,1983,-10.7,35.8,2280.1,51.23,,3.3,270
90,속초,1984,-12.9,35.6,2344.9,52.57,,3,270
90,속초,1985,-13.4,34.7,2245.9,50.46,,3,270
90,속초,1986,-14.4,32.9,2210.3,49.66,,3.1,270
90,속초,1987,-8.8,33.8,2403,53.98,,3.2,270
90,속초,1988,-10.8,33.2,2232.9,50.05,,3.4,270
90,속초,1989,-9.3,33.6,2063.9,46.37,,2.9,270
90,속초,1990,-13.8,33.2,1975.2,44.38,,3,290
90,속초,1991,-13.6,32.4,2201.6,49.46,,3,290
90,속초,1992,-8.6,35.7,1988.6,44.57,,2.9,290
90,속초,1993,-10.3,30.6,2059.5,46.27,,3,290
90,속초,1994,-11.9,35.3,2272.7,51.06,,2.8,290
90,속초,1995,-11.3,34.3,2251,50.57,,2.9,290
90,속초,1996,-14.3,34.6,1953.4,43.77,,2.8,320
90,속초,1997,-10.1,35.9,2094.4,47.05,,2.8,320
90,속초,1998,-13.1,32.1,1920,43.14,,2.9,320
90,속초,1999,-10.8,33.3,2119.3,47.61,,3,320
90,속초,2000,-10.9,33.7,2145.7,48.09,,2.7,290
90,속초,2001,-14.6,34.2,2055.6,46.17,,2.4,270
90,속초,2002,-11,36.6,2033.4,45.65,,2.3,270
90,속초,2003,-14.8,33.2,1771.1,39.77,,2.3,270
90,속초,2004,-15.6,37.1,2273.7,50.94,,2.6,270
90,속초,2005,-13.1,36,2236.1,50.2,,2.6,270
90,속초,2006,-11.9,33,1748.7,39.26,,2.5,270
90,속초,2007,-8.6,35.3,1892.3,42.49,,2.5,270
90,속초,2008,-10.9,34.7,2224.6,49.84,,2.4,290
90,속초,2009,-10,32.4,2185.2,49.06,,2.5,290
90,속초,2010,-11.6,35.1,2065.7,46.38,,2.4,290
90,속초,2011,-13.2,35.7,2043.2,45.88,,2.2,290
90,속초,2012,-14.3,34.7,2101,47.52,,2.3,250
90,속초,2013,-14.1,35.8,2439.3,54.76,,2.3,270
90,속초,2014,-10.8,34.6,2386,53.57,,2.2,270
90,속초,2015,-10.4,35.4,2413.6,55.43,,2.1,290
90,속초,2016,-16.4,35.9,2205.3,49.74,,1.9,290
90,속초,2017,-11.2,34.9,2497.9,56.08,,1.8,290
90,속초,2018,-16.2,38.7,2421.1,54.36,,1.9,290
90,속초,2019,-9,36.1,2543.1,57.11,,1.9,270
90,속초,2020,-11.3,35.1,2447.9,54.85,,2.1,270
90,속초,2021,-16.1,33.8,2478.1,55.77,,2,270
90,속초,2022,-12.5,35.5,2488.1,55.86,0,2,270
90,속초,2023,-16,36.6,2379.8,55.5,,1.9,270
90,속초,2024,-12.3,36.6,2270.9,51.35,3800.68,2.2,270
93,북춘천,2016,-12.1,29,475,50.02,845.97,,230
93,북춘천,2017,-19,37.5,2503.1,56.2,5163.39,1.3,230
93,북춘천,2018,-21.7,40.6,2542,57.06,4907.95,1.4,200
93,북춘천,2019,-15.1,36.5,2368.7,53.18,5264.83,1.2,200
93,북춘천,2020,-18.5,35.8,2281.7,51.12,5226.28,1.3,200
93,북춘천,2021,-22.5,36.6,2303.2,51.71,5354.64,1.2,200
93,북춘천,2022,-18.5,35.8,2383.2,53.66,5390.55,1.2,200
93,북춘천,2023,-21.7,35.2,2518.1,56.72,5320.11,1.1,200
93,북춘천,2024,-16.6,36.2,2522.6,56.51,5378.68,1.2,200
95,철원,1988,-17.6,36.9,2184.6,48.93,4643.19,1.2,180
95,철원,1989,-15.9,34.6,2083.1,46.79,4770.33,1.3,180
95,철원,1990,-25.8,34.1,1699.8,38.19,4025.23,2,200
95,철원,1991,-21.6,32.8,2113.1,47.46,4071.05,2.1,250
95,철원,1992,-19.4,33,1857.3,41.64,,1.9,230
95,철원,1993,-18.3,30.6,2019.3,45.36,,1.7,200
95,철원,1994,-21.5,35.4,2084.2,46.83,,1.8,200
95,철원,1995,-19.3,32.6,2042.1,45.88,,1.9,200
95,철원,1996,-19.1,33.5,2091.5,46.88,,1.8,230
95,철원,1997,-20.2,34.6,2306.8,51.82,,1.7,200
95,철원,1998,-19.3,33.7,2197.9,49.38,,1.8,230
95,철원,1999,-17.5,33.9,2210.6,49.66,,1.6,230
95,철원,2000,-18.5,33.6,2033.3,45.57,,1.3,230
95,철원,2001,-29.2,33.1,2189.8,49.18,,1.6,230
95,철원,2002,-24.4,34.4,2056.2,46.17,,1.9,230
95,철원,2003,-24.6,30.4,1909.1,42.87,,1.8,20
95,철원,2004,-20.4,33.4,2161.7,48.43,,2,200
95,철원,2005,-20.1,33.8,2114.9,47.48,,2.1,200
95,철원,2006,-19.3,33.9,1909.3,42.87,,2,230
95,철원,2007,-16.9,33.9,1928.1,43.3,,2,230
95,철원,2008,-19.1,35.1,2108.7,47.26,,1.8,200
95,철원,2009,-19.8,33.2,2075.4,46.6,,1.8,200
95,철원,2010,-26.8,32.9,1776.1,39.88,,1.8,200
95,철원,2011,-24.3,34.3,2059.4,46.25,,1.8,200
95,철원,2012,-24.6,34.3,2179.9,48.84,,1.8,230
95,철원,2013,-25.8,32.7,2364.4,53.08,,1.7,200
95,철원,2014,-20.3,35.3,2486.9,55.84,,1.7,200
95,철원,2015,-18.1,35.6,2625.1,58.95,,1.6,200
95,철원,2016,-20.6,34.3,2356.9,52.81,,1.5,200
95,철원,2017,-18.8,33.8,2379.7,53.57,,1.5,200
95,철원,2018,-25.2,38.4,2506.1,56.27,,1.7,200
95,철원,2019,-17.1,35.1,2754.5,61.99,5170.99,1.2,200
95,철원,2020,-18.8,34.9,2597.2,58.19,5098.45,1.3,200
95,철원,2021,-22.4,35.7,2669.6,59.94,5351.69,1.3,200
95,철원,2022,-20.4,34.5,2683,60.24,5386.3,1.3,20
95,철원,2023,-21.9,33.8,2499.2,56.3,5309.75,1.3,230
95,철원,2024,-16.9,35.8,2476.7,55.49,5348.47,1.3,230
98,동두천,1998,-17.8,33.2,1901.7,43.29,,1.4,50
98,동두천,1999,-15.3,35.4,2116.4,47.54,,1.6,50
98,동두천,2000,-17.2,34.5,2091.3,46.87,,1.9,360
98,동두천,2001,-26.2,35.5,2208.9,49.62,,1.8,360
98,동두천,2002,-20.4,35.6,2052.9,46.09,,1.5,360
98,동두천,2003,-19.7,33,1925,43.22,,1.1,360
98,동두천,2004,-19.6,35.6,2145.8,48.07,,1.7,360
98,동두천,2005,-18,34.8,2167.7,48.67,,1.8,20
98,동두천,2006,-17.5,34.8,1972.1,44.27,,1.6,360
98,동두천,2007,-13.8,34.3,1856.5,41.68,,1.6,180
98,동두천,2008,-15.2,35.2,2137.1,47.88,,1.6,20
98,동두천,2009,-15,34.1,2087.1,46.86,,1.7,250
98,동두천,2010,-19.5,33,1845.9,41.44,,1.7,20
98,동두천,2011,-19.1,35.2,2111.8,47.41,,1.4,360
98,동두천,2012,-19.7,36.4,2408.2,53.95,,1.7,360
98,동두천,2013,-20.7,34.3,2398.2,53.84,,1.7,20
98,동두천,2014,-15.6,36.3,2418,54.29,,1.6,20
98,동두천,2015,-14.3,35.7,2483.1,55.74,0,1.6,20
98,동두천,2016,-19.3,35.7,2412.1,54.04,,1.6,20
98,동두천,2017,-16.6,35.9,2446.4,54.92,,1.7,20
98,동두천,2018,-20.4,38.7,2590.3,58.15,,1.6,20
98,동두천,2019,-13.4,35.8,2563.3,57.55,,1.4,20
98,동두천,2020,-15.9,35.5,2440.3,54.67,,1.4,20
98,동두천,2021,-20.2,35.7,2417.4,54.27,768.57,1.3,20
98,동두천,2022,-16.8,35.4,2500.4,56.13,5205.65,1.2,250
98,동두천,2023,-20.3,34.3,2282.7,51.24,5096.78,1.1,20
98,동두천,2024,-15.7,35.2,2216.1,49.65,5113.84,1.1,20
99,파주,2002,-21.8,35,2098.9,47.12,,1.8,50
99,파주,2003,-21.6,32.4,1988.5,44.64,,1.6,50
99,파주,2004,-19.8,34.6,2165.5,48.51,,1.8,50
99,파주,2005,-20.1,34.4,2207.5,49.56,,1.8,50
99,파주,2006,-17.6,34.9,1992.2,44.73,,1.8,50
99,파주,2007,-15.6,33,1904.4,42.75,,1.8,50
99,파주,2008,-17.4,34.9,2193,49.13,,1.6,50
99,파주,2009,-17.9,33.3,2176.2,48.85,,1.6,50
99,파주,2010,-25.9,34.1,1914.8,42.98,,1.6,50
99,파주,2011,-23,34.1,2114.3,47.47,,1.5,50
99,파주,2012,-24.6,36.5,2484.2,55.65,,1.6,50
